neighbourhood,room_type,calculated_host_listings_count,availability_365,distance_to_center,price
12.0,1.0,1.0,1.0,5.33850801747477,295
30.0,0.0,1.0,0.0,10.813720969468234,70
6.0,0.0,2.0,0.0,7.872477240123298,58
6.0,1.0,1.0,267.0,9.386148522943076,75
31.0,0.0,1.0,0.0,7.685401425324666,38
7.0,1.0,1.0,270.0,0.8726786620680133,100
28.0,1.0,1.0,43.0,2.69078533650097,260
11.0,1.0,1.0,4.0,3.2023590077333677,147
20.0,0.0,1.0,0.0,4.819403473474535,34
15.0,0.0,1.0,0.0,9.851016635486735,65
19.0,1.0,1.0,150.0,3.2429684711261335,125
71.0,1.0,1.0,338.0,0.4368555477372097,310
21.0,0.0,1.0,329.0,8.621321409863906,50
19.0,0.0,1.0,0.0,3.8944847058331296,79
38.0,1.0,2.0,63.0,7.664423623393308,329
81.0,0.0,2.0,170.0,9.40208066388917,115
21.0,1.0,1.0,0.0,7.754861062169942,140
13.0,1.0,2.0,112.0,7.372879180054953,225
2.0,0.0,1.0,281.0,5.284681882016833,149
73.0,0.0,1.0,124.0,17.587862640857033,50
2.0,0.0,1.0,364.0,5.693625761838367,88
37.0,1.0,1.0,0.0,13.237595112461591,200
12.0,1.0,1.0,0.0,5.897762738487183,160
6.0,1.0,1.0,89.0,9.188746764958363,125
30.0,0.0,3.0,0.0,10.441119759337269,75
83.0,0.0,1.0,57.0,9.165659297270112,80
13.0,1.0,1.0,0.0,7.930539227302859,140
13.0,1.0,1.0,41.0,8.14995292140846,134
24.0,0.0,1.0,0.0,10.935275330339287,65
20.0,1.0,1.0,327.0,5.06154960625233,159
19.0,1.0,1.0,52.0,3.4957955624001844,300
46.0,0.0,1.0,180.0,19.177488551535326,95
5.0,0.0,1.0,0.0,1.6955655200805508,70
3.0,1.0,1.0,199.0,8.209723662491264,248
30.0,1.0,1.0,364.0,9.385040504680497,750
21.0,0.0,1.0,0.0,8.990821781605192,90
12.0,1.0,1.0,161.0,5.476649209761058,80
